"fs0" "f" "s0"
"F94" 2.16666666666667 6.66666666666667 0.325
"F95" 3.28571428571429 6.71428571428571 0.48936170212766
"F96" 1.42857142857143 5.71428571428571 0.25
"F97" 3.5 6.75 0.518518518518518
"F98" 5.71428571428571 10.8571428571429 0.526315789473684
"F99" 1.84615384615385 4.53846153846154 0.406779661016949
"F00" 6.875 21.75 0.316091954022989
"F01" 11 14.4 0.763888888888889
"F02" 6.2 9.4 0.659574468085106
"F03" 3.16666666666667 4.16666666666667 0.76
"F04" 2.66666666666667 3.33333333333333 0.8
"F05" 2 27.6666666666667 0.072289156626506
"F06" 1.33333333333333 3 0.444444444444444
"F07" 4.66666666666667 19 0.245614035087719
"F08" 3 6.75 0.357142857142857
"F09" 3 6.75 0
"F10" 3 6.75 0.75
"F11" 3 6.75 0.3
"F12" 65 77 0.844155844155844
"F13" 2.66666666666667 10.3333333333333 0.258064516129032
"F14" 3 8 0.375
"F15" 1 2 0.5
"F16" 3 6.75 0.480769230769231
"F17" 3 6.75 0.666666666666667
"F18" 3 6.75 0.333333333333333
"F19" 0.5 0.5 1
"F20" 2 11 0.181818181818182
"F21" 4.66666666666667 6.33333333333333 0.736842105263158
"A13" "f_moy" "s0_moy"
"1" 3.16960488672222 7.31092180655919 0.433543808918668
